Product ID,Name,Price,Product Sub ID,Stock,Stock warning,Track inventory,Inventory rule,Items in stock on attr. level
"B7NSA034P0","Round and Pear Pendant Pattern Swarovski Crystal Necklace and Earring Set","55.99000","","1","0","Yes","Hide","",
"B7NSA036P0","Green and Yellow with Purple Swarovski Crystal Necklace and Earring Set","45.99000","","1","0","Yes","Hide","",
"B7NSA037P0","Fashionable Round and Square Cubic Zirconia Necklace and Earring Set","61.99000","","1","0","Yes","Hide","",
"B7NSA038P0","Round Pendant Pattern with Pear Shaped Cubic Zirconia Necklace and Earring Set","71.99000","","1","0","Yes","Hide","",
"B7NSA040P0","Oval Pendant Pattern with Matching Earring Cubic Zirconia Necklace Set","63.99000","","1","0","Yes","Hide","",
"B7NSA041P0","Cubic Zirconia Necklace and Earring Set with Pear Shaped Pendant Pattern","44.99000","","1","0","Yes","Hide","",
"B7NSA042P0","Double Oval Pendant Pattern Cubic Zirconia Necklace and Earring Set","63.99000","","1","0","Yes","Hide","",
"B7NSA043P0","Flower Pattern Oval Shaped Pendant Cubic Zirconia Necklace and Earring Set","114.99000","","1","0","Yes","Hide","",
"B7NSA044P0","Star Shape Cubic Zirconia Necklace and Earring Set","64.99000","","1","0","Yes","Hide","",
"B7NSA047P0","Rectangular and Triangle Shaped Pendant with Round Pattern Necklace and Earring Set","125.99000","","1","0","Yes","Hide","",
"B7NSA049P0","Pear and Round Pendant Pattern Cubic Zirconia Necklace and Earring Set","121.99000","","1","0","Yes","Hide","",
"B7NSA050P0","Round Pendant Necklace with Star Pattern Cubic Zirconia Necklace and Earring Set","105.99000","","1","0","Yes","Hide","",
"B7NSA051P0","Round Cubic Zirconia Pendant Pattern Necklace and Earring Set","101.99000","","1","0","Yes","Hide","",
"b7nsa052p0","Sunflower Shaped Hanging Cubic Zirconia Pendant Necklace and Earring Set","59.99000","","1","0","Yes","Hide","",
"b7nsa053p0","Large Round Shaped Cubic Zirconia Pendant Necklace and Earring Set","104.99000","","1","0","Yes","Hide","",
"B7NSA057P0","Swarovski Crystal Round Pendant Necklace and Earring Set Ideal For Weddings and Formal Events","59.99000","","0","0","Yes","OutOfStock","",
"B7NSA058P0","Flower and Round Pendant Pattern Cubic Zirconia Necklace and Earring Set For Formal Events","62.99000","","1","0","Yes","Hide","",
"b7nsa065p0","Sun Shaped Pendant With Cubic Zirconia Necklace and Earring set","124.99000","","1","0","Yes","Hide","",
"B7NSA107P0","Pearl Necklace with Square Shape Crystals Necklace and Earring Set","44.99000","","1","0","Yes","Hide","",
"B7NSA108P0","Oval and Flower Shape Pendant Necklace and Earring Set Formal For Weddings and Formal Events","71.99000","","1","0","Yes","Hide","",
"b7nsa109p0","Circular Cubic Zirconia Hanging Pendants Necklace and Earrings","78.99000","","1","0","Yes","Hide","",
"B7NSA110P0","Round Pattern Pendant Necklace and Earring Set For Weddings","69.99000","","1","0","Yes","Hide","",
"B7NSA114P0","Cubic Zirconia Necklace and Earring Set with Round Shaped Pendants","192.99000","","1","0","Yes","Hide","",
