sku	asin	price	quantity
IX-9MV1-1L3E	B004S2FYZM	69.99	
JD0609A+JF1709A-2	B00N28J2UG	50.99	3
JD0609A-4+JF1717-4	B00N28J5G2	40.99	1
JD0614-3-2	B00N28J6OI	49.99	7
JD0619-2-2	B00N28J91S	53.99	5
JD0619-3	B00N28JA4O	53.99	12
JD0622-3-2	B00N28JB5W	31.99	7
JD0642-1-2	B00N28JK3U	37.99	3
JD0645A-2_3	B00N28JM7Y	48.99	5
JD0646A-4+JD0205A-6-2	B00N28JN28	119.99	8
JD0653-1-3	B00N28JOYU	47.99	9
JD0654-1-2	B00N28JQU2	46.99	12
JD0655-2	B00N28JRTC	43.99	9
JD0656-2	B00N28JTHC	41.99	10
JD0656-2-2	B00N28JSUU	41.99	1
JD0657-1-3	B00N28JU5I	84.99	1
JD0657-3-2	B00N28J2G0	84.99	10
JD0663-1-2	B00N28J6H0	35.99	10
JD0667-1-3	B00N28J7MO	36.99	13
JD0667-3	B00N28J8RS	36.99	11
JD0677-1-2	B00N28JA7G	36.99	5
JD0684-2-2	B00N28JB6Q	50.99	12
JD0733-2-2	B00N28JDZA	54.99	16
JD0734	B00N28JHOC	46.99	8
JD0734-1-2	B00N28JGG6	46.99	5
JD0740-2	B00N28JIT6	34.99	11
JD0741-2-2	B00N28JJV8	39.99	10
JD0741-3-3	B00N28JKM6	39.99	9
JD0745-1-2	B00N28JLCU	82.99	7
JD0747	B00N28JMDI	51.99	9
JD0763-3	B00N28JODQ	36.99	7
JD0766+JF124B-2	B00N28JQSE	63.99	11
JD0766-3+JF1709A-3-2	B00N28JPK8	57.99	9
JD0768-4+JD0205B-5-2	B00N28JRRY	76.99	9
JD0775-3-2	B00N28JSTG	38.99	3
JD0777-4+JD0205B-5-2	B00N28JTWC	68.99	10
JD0777A-1+JF124B-2	B00N27HMKY	68.99	10
JD077A-1+JF124B-2	B00N27HMKY	68.99	11
JD0790	B00N28JW24	38.99	5
JD777A+JF1724B-3	B00N28JV3Y	65.99	7
JM047-1A	B00NACNL7O	28.99	1
JM047-4A	B00NACNN1S	28.99	1
JM047-7A	B00NACNUKW	28.99	1
JM091A	B00NACOQYG	66.99	1
JM103A	B00NACOUJC	27.99	1
JM105A	B00NACOYIE	26.99	1
JM110A	B00NACN7AK	25.99	1
JM125-1A	B00NACNCSM	35.99	1
JM125A	B00NACNBDI	35.99	1
JM126-1A	B00NACNG9W	23.99	1
JM126-4A	B00NACNHIW	23.99	1
JM126A	B00NACNEGC	23.99	1
